venue,num_papers
Computación Y Sistemas,108
Ercim News,107
Learned Publishing,107
adaptive multimedia retrieval,107
networked digital technologies,107
dynamic languages symposium,106
Distributed Systems Engineering,106
Space Communications,106
Evolutionary Computation,106
"symposium on abstraction, reformulation and approximation",106
intelligent human computer interaction,106
eclipse technology exchange,105
evolutionary computation machine learning and data mining in bioinformatics,105
"Logiciel, Base De Données, Réseaux \/ Software, Databases, Networks",105
International Journal of Systems and Service-oriented Engineering,105
asian simulation conference,105
non-photorealistic animation and rendering,104
Physical Review A,104
Psychnology Journal,104
International Journal of Digital Literacy and Digital Competence,104
"international joint conferences on bioinformatics, systems biology and intelligent computing",103
"computer, information, and systems sciences, and engineering",103
International Journal of Multimedia Information Retrieval,103
International Journal of E-adoption,102
broadband and wireless computing communication and applications,102
international conference on the computer processing of oriental languages,102
human language technology,101
symposium on search based software engineering,101
semantics and digital media technologies,101
cooperative and human aspects of software engineering,101
Journal of Clinical Bioinformatics,101
workshop on biomedical image registration,100
Advances in Human Factors\/ergonomics,100
International Journal of Technoethics,100
AStA Wirtschafts- und Sozialstatistisches Archiv,100
educational data mining,100
field and service robotics,100
international conference on systems engineering,100
International Journal of Sociotechnology and Knowledge Development,100
Contributions to Discrete Mathematics,99
Transactions on Rough Sets,99
international conference on wireless networks,99
non-linear speech processing,99
International Journal of Swarm Intelligence Research,99
international conference on signal acquisition and processing,98
Robotics,98
Bulletin of The European Association for Theoretical Computer Science,98
International Journal of Business Intelligence Research,97
"International Journal of Adaptive, Resilient and Autonomic Systems",97
International Journal of Agricultural and Environmental Information Systems,97
international conference on automation robotics and applications,97
scandinavian conference on information systems,97
hot topics in operating systems,97
standardization and innovation in information technology,97
Review of Symbolic Logic,97
international workshop on peer to peer systems,97
arXiv: Quantitative Methods,96
asia pacific computer and human interaction,96
Ipsj Transactions on Computer Vision and Applications,96
formal methods for open object based distributed systems,96
International Journal of Gaming and Computer-mediated Simulations,96
information and communication technologies and accessibility,96
Journal of Convergence Information Technology,95
Ars Combinatoria,95
BMC Genomics,94
OR Insight,94
Engineering Letters,94
service oriented computing and applications,94
European Physical Journal B,93
"symposium on languages, applications and technologies",93
international conference on evaluation of novel approaches to software engineering,93
arXiv: Group Theory,93
International Journal of Knowledge Engineering and Soft Data Paradigms,93
workshop on algorithms and computation,93
International Journal of Critical Computer-based Systems,93
german conference on bioinformatics,93
joint conference on knowledge-based software engineering,93
security and cryptography for networks,92
self adaptive and self organizing systems,92
system level interconnect prediction,92
variability modelling of software intensive systems,92
International Journal of Business Performance and Supply Chain Modelling,92
arXiv: Operating Systems,91
Information Technology & Tourism,91
Journal of Physics: Conference Series,90
ip operations and management,90
embedded systems for real time multimedia,90
International Journal of Mobile Computing and Multimedia Communications,90
artificial intelligence and interactive digital entertainment conference,90
computing the australasian theory symposium,90
international conference on information theoretic security,89
next generation information technologies and systems,89
predictive models in software engineering,89
italian conference on theoretical computer science,89
conference on management of data,89
high performance computing for computational science (vector and parallel processing),89
parallel and distributed processing techniques and applications,88
International Journal of Mathematical Modelling and Numerical Optimisation,88
Journal of Computational Geometry,88
data management on new hardware,88
IEEE Transactions on Computational Imaging,88
Scandinavian Journal of Information Systems,87
kommunikation in verteilten systemen,87
ubiquitous computing systems,87
Soft Computing,87
ReCALL,87
international xml database symposium,86
International Journal of Organizational and Collective Intelligence,86
International Journal of Agent Technologies and Systems,86
Journal of Internet and Enterprise Management,85
verified software theories tools experiments,85
Journal of Computational Design and Engineering,85
"cooperative design, visualization, and engineering",85
Formalized Mathematics,85
starting ai researchers' symposium,85
International Journal of Secure Software Engineering,84
Journal of Embedded Computing,84
traffic monitoring and analysis,84
"services science, management and engineering",83
"international symposium on computer modeling, measurement and evaluation",83
international workshop on self organizing systems,83
aspect oriented software development,83
international conference on computer graphics theory and applications,82
latin-american symposium on dependable computing,82
communicating process architectures,82
Abdominal Imaging,82
International Journal of Knowledge and Web Intelligence,82
International Journal of Ad Hoc and Ubiquitous Computing,81
tbilisi symposium on logic language and computation,81
australasian document computing symposium,81
"international asia conference on informatics in control, automation and robotics",81
pacific asia conference on knowledge discovery and data mining,81
mobile wireless middleware operating systems and applications,80
International Journal of Computer Science & Applications,80
Algorithmic Operations Research,80
International Journal of Computational Intelligence Studies,80
symposium on application specific processors,79
european conference on smart sensing and context,79
international conference on access networks,79
ACM Transactions on Speech and Language Processing,79
visualizing software for understanding and analysis,79
International Journal of Advanced Operations Management,79
principles of security and trust,79
international conference on operations research and enterprise systems,79
Proceedings of the National Academy of Sciences of the United States of America,79
Applied and Computational Harmonic Analysis,79
foundations and practice of security,79
Datenschutz Und Datensicherheit,78
International Journal of Virtual and Personal Learning Environments,78
computational color imaging workshop,78
Computer Science Review,78
Advances in Artificial Intelligence,77
Ipsj Transactions on System Lsi Design Methodology,77
Complex Systems,77
analysis and modeling of faces and gestures,77
cooperative distributed systems,77
International Journal of Agent-oriented Software Engineering,77
"international conference on automation, robotics and applications",77
Paladyn,76
international conference on networks and communications,76
international conference on wireless information networks and systems,75
computer vision computer graphics collaboration techniques,75
Vietnam Journal of Computer Science,75
Journal of Cloud Computing,75
Computational Visual Media,75
Journal of Data and Information Quality,75
programming multi agent systems,74
international conference on robot communication and coordination,74
arXiv: Algebraic Geometry,74
IEEE Parallel & Distributed Technology: Systems & Applications,74
reversible computation,73
international joint conference on knowledge discovery knowledge engineering and knowledge management,73
International Journal of Advanced Computer Science and Applications,73
International Journal of Wireless & Mobile Networks,73
conference on high performance computing supercomputing,73
International Journal of Digital Crime and Forensics,73
International Journal of Applied Logistics,73
machines computations and universality,73
International Journal of Intelligent Engineering Informatics,72
international conference on software business,72
latin american network operations and management symposium,72
International Journal of Open Source Software and Processes,72
IEEE Intelligent Systems & Their Applications,72
International Journal of Knowledge Discovery in Bioinformatics,72
Journal of the Acoustical Society of America,71
symposium on abstraction reformulation and approximation,71
Advances in Artificial Neural Systems,71
"memory technology, design and testing",71
Robot,71
International Journal of Metaheuristics,71
"Journal on Satisfiability, Boolean Modeling and Computation",71
International Journal of Artificial Life Research,71
mobile lightweight wireless systems,70
Journal of Advanced Computational Intelligence and Intelligent Informatics,70
Linear Algebra and its Applications,70
advances in computer games,70
"artificial intelligence: methodology, systems, applications",70
International Journal of Functional Informatics and Personalised Medicine,70
knowledge acquisition modeling and management,70
"international conference on ehealth, telemedicine, and social medicine",69
International Journal of It Standards and Standardization Research,69
International Journal of Natural Computing Research,69
IEEE Transactions on Cognitive Communications and Networking,69
international conference on health informatics,69
Journal of Physics A,69
workflows in support of large scale science,69
The Prague Bulletin of Mathematical Linguistics,69
Proceedings of The Vldb Endowment,69
Journal of Complex Networks,69
cognitive radio and advanced spectrum management,68
agent directed simulation,68
challenges of large applications in distributed environments,68
asia pacific bioinformatics conference,68
semantics knowledge and grid,67
trends in functional programming,67
international conference on e business engineering,67
Advances in Software Engineering,67
arXiv: Computation,67
next generation teletraffic and wired wireless advanced networking,67
International Journal of Business Data Communications and Networking,66
"verified software: theories, tools, experiments",66
International Journal of Actor-network Theory and Technological Innovation,66
Frontiers in ICT,66
location  and context awareness,66
International Journal of Computer Science and Information Technology,66
international conference on data technologies and applications,66
"Electronic Publishing - Origination, Dissemination and Design",65
wired/wireless internet communications,65
System,65
agents and data mining interaction,65
international conference on education technology and computer,65
international conference on software and data technologies,64
secure web services,64
International Journal of High Performance Computing Applications,64
Formal Methods in System Design,64
principles systems and applications of ip telecommunications,64
data management for sensor networks,64
arXiv: Adaptation and Self-Organizing Systems,63
Security Informatics,63
asia-pacific conference on wearable computing systems,63
Scopus,63
International Journal of Web Portals,63
Transactions on Computational Systems Biology,63
IEEE Transactions on Big Data,63
Theory of Computing,63
arXiv: Dynamical Systems,62
International Journal of Digital Library Systems,62
New Journal of Physics,62
pacific rim symposium on image and video technology,62
"international conference on mobile technology, applications, and systems",62
International Journal of Business Information Systems,62
College & Research Libraries,62
pacific rim international conference on multi agents,62
International Journal of Information Technologies and Systems Approach,61
australian conference on artificial life,61
types in languages design and implementation,61
cyber enabled distributed computing and knowledge discovery,60
ACM Transactions on Computation Theory,60
Journal of Ambient Intelligence and Smart Environments,60
"wireless algorithms, systems, and applications",59
autonomic computing and communication systems,59
International Journal of Embedded and Real-time Communication Systems,59
international conference of fuzzy information and engineering,59
databases knowledge and data applications,59
IEEE Data(base) Engineering Bulletin,59
Journal of Information Technology Education,59
"verification, model checking and abstract interpretation",59
International Journal of Radio Frequency Identification Technology and Applications,59
Grammars,59
international conference on pervasive and embedded computing and communication systems,59
electronic healthcare,59
Journal of Logic and Analysis,59
requirements engineering: foundation for software quality,58
international service availability symposium,58
International Journal of Intelligent Defence Support Systems,58
robotics science and systems,58
arXiv: Computational Physics,58
Intelligenza Artificiale,58
data mining and optimization,58
Computers and Biomedical Research,58
soft methods in probability and statistics,58
Lecture Notes in Control and Information Sciences,57
parallel symbolic computation,57
Cvgip: Image Understanding,57
Vehicular Communications,57
european workshop on computational geometry,57
conference on computer graphics and interactive techniques in australasia and southeast asia,56
International Journal of Computational Science and Engineering,56
Journal of Signal Processing Systems,56
Argument & Computation,56
Ima Journal of Mathematical Control and Information,56
international conference on auditory display,56
scandinavian conference on ai,56
new technologies mobility and security,55
biologically inspired cognitive architectures,55
International Journal of Information and Coding Theory,55
International Journal of Knowledge Engineering and Data Mining,55
grid computing environments,55
advances in modal logic,55
The Computer Science Journal of Moldova,55
conference on email and anti-spam,55
International Journal of E-politics,55
Computational Complexity,54
intelligent information technology application,54
conference on information technology in asia,54
The Review of Socionetwork Strategies,54
"IEEE Transactions on Molecular, Biological, and Multi-Scale Communications",53
"virtual environments, human-computer interfaces and measurement systems",53
international workshop on computational forensics,53
International Journal on It\/business Alignment and Governance,53
International Journal of Ultra Wideband Communications and Systems,53
International Journal of Creative Interfaces and Computer Graphics,53
computer animation and social agents,53
"arXiv: Data Analysis, Statistics and Probability",53
distributed systems: operations and management,53
Advances in Operations Research,53
international conference on data management in grid and p2p systems,52
International Journal of Law and Information Technology,52
programming languages meets program verification,52
computer human interaction for management of information technology,52
parallel distributed and network based processing,52
Journal of Lightwave Technology,52
asia-pacific conference on conceptual modelling,51
unifying theories of programming,51
IEEE Transactions on Network Science and Engineering,51
International Journal of Synthetic Emotions,51
International Journal of Information Quality,51
"ad-hoc, mobile and wireless networks",51
international conference on formal methods and models for co-design,51
mathematics of language,51
computational intelligence methods for bioinformatics and biostatistics,51
model based methodologies for pervasive and embedded software,51
International Journal of Network Security & Its Applications,50
probabilistic graphical models,50
latin american symposium on dependable computing,50
Traitement Du Signal,50
The Bulletin of Symbolic Logic,50
bioinformatics research and development,50
variability modelling of software-intensive systems,50
european workshop on system security,49
International Journal on Wireless & Optical Communications,49
international conference on wireless and mobile communications,49
Archives and Museum Informatics,49
Journal of Digital Forensic Practice,49
international conference on knowledge engineering and ontology development,49
international workshop on peer-to-peer systems,49
asia pacific conference on conceptual modelling,49
finite-state methods and natural language processing,49
International Journal of Rf Technologies: Research and Applications,49
international symposium on imprecise probabilities and their applications,48
brazilian symposium on geoinformatics,48
Research and Practice in Technology Enhanced Learning,48
Journal of Instruction-level Parallelism,48
data storage and data engineering,48
Rundbrief Der Gi-fachgruppe 5.10 Informationssystem-architekturen,48
information processing and trusted computing,47
"International Journal of Granular Computing, Rough Sets and Intelligent Systems",47
international conference on applications of declarative programming and knowledge management,47
Journal of Statistical Physics,47
ACM Sigsim Simulation Digest,47
programming multi-agent systems,47
formal methods for open object-based distributed systems,47
asia-pacific bioinformatics conference,47
brazilian symposium on databases,47
International Journal of Information Systems for Crisis Response Management,46
arXiv: Metric Geometry,46
Chaos,46
Journal of Information Security,46
Spring,46
International Journal of Intelligent Games & Simulation,46
topic maps research and applications,46
Intelligent Information Management,45
Chicago Journal of Theoretical Computer Science,45
pervasive computing technologies for healthcare,45
ACM Journal of Computer Documentation,45
arXiv: Statistical Mechanics,45
NeuroRehabilitation,45
international symposium on ubiquitous virtual reality,45
Big Data Research,45
international conference on evolutionary computation theory and applications,44
Journal of the Association for Information Systems,44
databases information systems and peer to peer computing,44
non linear speech processing,44
component-based software engineering,44
arXiv: Populations and Evolution,44
new zealand chapter's international conference on computer human interaction,44
International Journal of Applied Cryptography,43
distributed frameworks for multimedia applications,43
memory technology design and testing,43
Journal of Formalized Reasoning,43
wireless mobile and ubiquitous technologies in education,43
arXiv,43
Oops Messenger,43
Revista Colombiana De Computacion \/ Colombian Journal of Computation,43
"software - science, technology and engineering",42
arXiv: Disordered Systems and Neural Networks,42
Journal of Computing and Information Technology,42
Impact of Computing in Science and Engineering,42
web services and formal methods,42
IEEE Transactions on Power Systems,42
IEEE Transactions on Computational Social Systems,42
high level parallel programming models and supportive environments,42
Theory and Practice of Object Systems,42
international workshop on self-organizing systems,41
italian research conference on digital library management systems,41
international conference on pattern recognition applications and methods,41
Ad Hoc & Sensor Wireless Networks,41
EPJ Data Science,41
arts and technology,41
Journal of Cellular Automata,41
"Journal of Computer Systems, Networks, and Communications",40
Electronics Letters,40
international conference on e-business,40
International Journal of Emerging Technologies in Learning,40
semantic web applications and tools for life sciences,40
Transactions on Computational Science,40
computational topology in image context,40
information retrieval facility conference,39
Computer Systems: Science & Engineering,39
algebraic biology,39
adversarial information retrieval on the web,39
information and communication technologies in tourism,39
high performance computational finance,39
international conference on adaptive and intelligent systems,38
Advances in Applied Mathematics,38
prague stringology conference,38
Journal of Mathematical Cryptology,38
Circuits and Systems,38
Sprachwissenschaft,38
Information Technology,38
international workshop conference on parsing technologies,38
Journal of Spatial Information Science,38
discourse anaphora and anaphor resolution colloquium,37
geometric modeling and imaging,37
Foundations and Trends in Microeconomics,37
biometrics and electronic signatures,37
arXiv: Chaotic Dynamics,37
finite state methods and natural language processing,37
International Journal of Software and Informatics,37
"evolutionary computation, machine learning and data mining in bioinformatics",37
indian international conference on artificial intelligence,37
Communications and Network,37
multimedia interaction design and innovation,37
international multiconference of engineers and computer scientists,37
International Journal of Humanities and Arts Computing,36
Journal of Software Engineering Research and Development,36
Computing Systems,36
software engineering for resilient systems,35
Analog Integrated Circuits and Signal Processing,35
security and privacy in communication networks,35
artificial intelligence and the simulation of behaviour,35
international workshop/conference on parsing technologies,35
Physics Letters A,34
Journal of Geographic Information System,34
IEEE Transactions on Circuits and Systems,34
arXiv: Algebraic Topology,34
personal satellite services,34
international conference on bio-inspired systems and signal processing,34
arXiv: Mathematical Physics,34
Zeitschrift Für Medienpsychologie,34
Journal of the Royal Society Interface,34
international conference on information visualization theory and applications,34
Microsystem Technologies-micro-and Nanosystems-information Storage and Processing Systems,34
International Journal of Autonomic Computing,34
owl: experiences and directions,34
Journal of Intelligent Learning Systems and Applications,33
compilers architecture and synthesis for embedded systems,33
ACM Letters on Programming Languages and Systems,33
International Journal of Advanced Robotic Systems,33
Data Science and Engineering,33
internet multimedia systems and applications,33
arXiv: Molecular Networks,33
International Journal of Artificial Intelligence & Applications,33
computer recognition systems,33
"autonomous infrastructure, management and security",32
biomedical engineering systems and technologies,32
International Journal of Computer Assisted Radiology and Surgery,32
International Journal of Database Management Systems,32
Journal of Mathematical Physics,32
arXiv: Genomics,32
non photorealistic animation and rendering,32
international conference on e-business and telecommunication networks,32
"simulation, modeling, and programming for autonomous robots",31
security and privacy in mobile information and communication systems,31
robotics: science and systems,31
Advances in Numerical Analysis,31
Foundations and Trends in Communications and Information Theory,31
geosensor networks,31
Annals of Statistics,31
Networking and Information Systems Journal,31
modelling autonomic communications environments,31
International Journal of High Performance Computing and Networking,31
Emisa Forum,31
workshop on functional and constraint logic programming,31
arXiv: Functional Analysis,30
mAbs,30
Wireless Engineering and Technology,30
The Artist and Journal of Home Culture,30
"biocomputation, bioinformatics, and biomedical technologies",30
Computer Methods in Applied Mechanics and Engineering,30
"swarm, evolutionary, and memetic computing",30
networking architecture and storages,30
Kognitionswissenschaft,30
information systems technology and its applications,30
computational linguistics in the netherlands,30
international conference on informatics and semiotics in organisations,30
"modelling, computation and optimization in information systems and management sciences",29
Journal of Numerical Mathematics,29
"Journal of Information, Law and Technology",29
arXiv: Category Theory,29
Optics Express,29
arXiv: Materials Science,29
Information Storage and Retrieval,29
International Journal of Software Engineering & Applications,29
Human-centric Computing and Information Sciences,29
software   science technology and engineering,29
petascale data storage workshop,29
international conference on biomedical electronics and devices,29
international conference on knowledge discovery and information retrieval,28
International Journal of Computers in Healthcare,28
simulation tools and techniques for communications networks and system,28
algorithmic approaches for transportation modeling optimization and systems,28
computer science and its applications,28
Development,28
arXiv: Commutative Algebra,27
ACM Transactions on Modeling and Performance Evaluation of Computing ,27
advances in model based software testing,27
workshop on algorithms and models for the web-graph,27
International Journal of Ict Research and Development in Africa,27
Synthesis Lectures on Data Management,27
international conference on optical communication systems,27
design automation and test in europe,27
Foundations and Trends in Electronic Design Automation,27
"international joint conference on knowledge discovery, knowledge engineering and knowledge management",27
arXiv: Rings and Algebras,26
symposium on languages applications and technologies,26
Cheminform,26
ACM Sigois Bulletin,26
european workshop on multi-agent systems,26
international conference on computer vision and graphics,26
European Physical Journal-special Topics,26
workshop on automated specification and verification of web sites,26
owl experiences and directions,26
Foundations and Trends in Human-computer Interaction,26
spec international performance evaluation workshop,26
Pli,26
international conference on neural computation theory and applications,25
International Journal of Digital Evidence,25
fixed points in computer science,25
IEEE Sensors Journal,25
cooperative systems design,25
Foundations and Trends in Theoretical Computer Science,25
International Journal of Digital Content Technology and Its Applications,25
next generation teletraffic and wired/wireless advanced networking,25
Foundations and Trends in Computer Graphics and Vision,25
Foundations and Trends in Information Retrieval,25
Journal of Electronic Commerce Research,25
International Journal of Unconventional Computing,25
International Journal of Social and Humanistic Computing,25
Praxis Der Informationsverarbeitung Und Kommunikation,25
Informatica (slovenia),25
international conference on peer to peer computing,25
Foundations and Trends in Networking,25
Synthesis Lectures on Biomedical Engineering,25
IEEE Latin America Transactions,25
IEEE Transactions on Cognitive and Developmental Systems,24
Annals of Applied Probability,24
Synthesis Lectures on Human-centered Informatics,24
logic in databases,24
The International Journal of Multimedia & Its Applications,24
advances in new technologies interactive interfaces and communicability,24
Mis Quarterly Executive,24
Journal of Algebra,24
"workshop on logic, language, information and computation",24
Automatisierungstechnik,24
Philosophical Transactions of the Royal Society A,24
Physical Review X,23
Scientific Journal of Riga Technical University. Computer Sciences,23
arXiv: Cellular Automata and Lattice Gases,23
Journal of Theoretical Biology,23
international solid state circuits conference,23
E-learning,23
multikonferenz wirtschaftsinformatik,23
International Journal of Virtual Reality,23
computational intelligence communication systems and networks,23
"Foundations and Trends in Technology, Information and Operations Management",22
ACM Transactions on Spatial Algorithms and Systems,22
conceptions of library and information sciences,22
International Journal of Modern Physics C,22
Vine,22
enterprise engineering working conference,22
Softwaretechnik-trends,22
Reports on Mathematical Logic,22
arXiv: Medical Physics,22
knowledge management for health care procedures,22
Synthesis Lectures on Artificial Intelligence and Machine Learning,22
Solid-state Electronics,22
Cybernetics and Human Knowing,22
international conference on pragmatic web,22
"Synthesis Lectures on Information Concepts, Retrieval, and Services",21
Nature Communications,21
Inverse Problems,21
arXiv: Optics,21
Scanning,21
Software - Concepts and Tools \/ Structured Programming,21
asia pacific services computing conference,21
Synthesis Lectures on Digital Circuits and Systems,21
arXiv: Astrophysics,21
mining and learning with graphs,21
IEEE Computational Intelligence Bulletin,21
arXiv: Analysis of PDEs,20
Chaos Solitons & Fractals,20
designing for user experiences,20
advanced architectures and algorithms for internet delivery and applications,20
arXiv: Physics Education,20
constraint solving and language processing,20
Foundations and Trends in Signal Processing,20
Journal of Advances in Information Fusion,20
working ieee ifip conference on software architecture,20
Journal of Vlsi Signal Processing Systems for Signal Image and Video Technology,19
Fluctuation and Noise Letters,19
Transactions on Data Hiding and Multimedia Security,19
"International Journal of Ad Hoc, Sensor & Ubiquitous Computing",19
International Journal of Web & Semantic Technology,19
Software Focus,19
Communications in Nonlinear Science and Numerical Simulation,19
Monthly Notices of the Royal Astronomical Society,19
Journal of Service Science,19
arXiv: History and Overview,18
Digital Humanities Quarterly,18
History and Computing,18
arXiv: Instrumentation and Detectors,18
european agent systems summer school,18
Frontiers in Digital Humanities,18
Synthesis Lectures on Computer Architecture,18
Journal of The Optical Society of America A-optics Image Science and Vision,18
Astronomy and Computing,18
Nature Precedings,18
many-task computing on grids and supercomputers,18
Journal of Computing and Information Science in Engineering,18
Communications in Mathematical Physics,18
Iee Proceedings - Software Engineering,18
arXiv: Geometric Topology,18
Physica D: Nonlinear Phenomena,18
The American Economic Review,18
International Journal of Vlsi Design & Communication Systems,18
computers and their applications,18
"Synthesis Lectures on Engineers, Technology and Society",17
hardware-oriented security and trust,17
computer vision/computer graphics collaboration techniques,17
"Synthesis Lectures on Image, Video, and Multimedia Processing",17
The Forum,17
arXiv: Differential Geometry,17
Scholarpedia,17
arXiv: High Energy Physics - Lattice,17
Journal of the Physical Society of Japan,17
computer aided design and computer graphics,17
quality in databases,17
International Journal of Computers and Their Applications,17
Journal of Computer Research and Development,17
ieee european symposium on security and privacy,17
"mathematical methods, models, and architectures for network security systems",17
Egyptian Computer Science Journal,17
Biophysical Journal,17
advanced information management and service,17
International Journal of Robust and Nonlinear Control,17
Journal of Fourier Analysis and Applications,17
semantic web applications and perspectives,16
IEEE Transactions on Circuits and Systems Ii: Analog and Digital Signal Processing,16
IEEE Transactions on Magnetics,16
International Journal of Next-generation Networks,16
pattern recognition in information systems,16
robotics and applications,16
non-monotonic reasoning,16
Applied Physics Letters,16
Advances in Mathematics,16
international conference on music and artificial intelligence,16
arXiv: Biomolecules,16
Network Science,16
computing: the australasian theory symposium,16
International Journal of Quantum Information,16
"machines, computations, and universality",16
location- and context-awareness,16
IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,16
Research Letters in Communications,15
"principles, systems and applications of ip telecommunications",15
International Journal on Applications of Graph Theory in Wireless Ad Hoc Networks and Sensor Networks,15
IEEE Transactions on Antennas and Propagation,15
Synthesis Lectures on Human Language Technologies,15
Area,15
agent and multi-agent systems: technologies and applications,15
Journal of Mathematical Analysis and Applications,15
international conference on wireless and ubiquitous systems,15
BMC Neuroscience,15
International Journal of Ubicomp,15
"The International Journal of Computers, Systems and Signal",15
arXiv: Fluid Dynamics,15
international conference on smart grids and green it systems,15
Synthesis Lectures on Computational Electromagnetics,15
ACM Sigchi Bulletin,15
ACM Transactions on Cyber-Physical Systems,15
"Proceedings of The Royal Society A: Mathematical, Physical and Engineering Sciences",15
The Annals of Applied Statistics,14
software engineering approaches for offshore and outsourced development,14
Foundations and Trends in Databases,14
brazilian symposium on formal methods,14
Econometrica,14
many task computing on grids and supercomputers,14
arXiv: Classical Analysis and ODEs,14
International Journal for Numerical Methods in Engineering,14
Ssrn Electronic Journal,14
Journal of Dynamic Systems Measurement and Control-transactions of The Asme,14
Journal of Mathematical Biology,14
european workshop on multi agent systems,13
arXiv: Trading and Market Microstructure,13
"international conference on simulation and modeling methodologies, technologies and applications",13
Frontiers of Physics in China,13
"databases, information systems, and peer-to-peer computing",13
Advances in Applied Probability,13
Applied Informatics,13
business intelligence for the real-time enterprises,13
International Journal of Information Technology and Computer Science,13
IEEE Transactions on Electron Devices,13
arXiv: General Literature,13
International Journal of Theoretical Physics,13
arXiv: General Finance,13
worst-case execution time analysis,13
ACM Sigcpr Computer Personnel,13
Control Engineering Practice,13
Ldv Forum,13
Ibis,13
Astronomy and Astrophysics,13
Frontiers in Neuroscience,13
Journal of Algebraic Combinatorics,13
Society,12
Journal of Mathematical Psychology,12
arXiv: Spectral Theory,12
IEEE Transactions on Nanobioscience,12
international conference on research and education in robotics,12
international symposium conference on music information retrieval,12
international conference on multimedia information networking and security,12
At-automatisierungstechnik,12
international conference on intensive applications and services,12
ICGA Journal,12
Journal of Ambient Intelligence and Humanized Computing,12
"mobile wireless middleware, operating systems, and applications",12
business intelligence for the real time enterprises,12
Transactions of The Japanese Society for Artificial Intelligence,12
Renewable Energy,12
security in information systems,12
ubiquitous data management,12
international workshop on rfid technology,12
International Journal for Numerical Methods in Fluids,12
reconfigurable architectures workshop,12
arXiv: Geophysics,12
Journal of The Franklin Institute-engineering and Applied Mathematics,12
Control and Cybernetics,12
Nonlinear Analysis: Hybrid Systems,12
Research Letters in Signal Processing,12
Synthesis Lectures on Communication Networks,12
The Astrophysical Journal,11
Synthesis Lectures on Algorithms and Software in Engineering,11
Journal of Social Structure,11
Procedia Engineering,11
Computers & Fluids,11
Mathematical Problems in Engineering,11
Isa Transactions,11
Mechanism and Machine Theory,11
Extremes,11
Lms Journal of Computation and Mathematics,11
International Journal of Nanotechnology and Molecular Computation,11
Nature Physics,11
Cocos,11
Proceedings of the American Mathematical Society,11
Journal on Computing and Cultural Heritage,11
Sigir Forum,11
doctoral conference on computing electrical and industrial systems,11
Electronic Communications in Probability,11
The International Journal of Advanced Manufacturing Technology,11
International Journal of E-entrepreneurship and Innovation,11
Iet Control Theory and Applications,11
International Journal of Artificial Intelligence and Soft Computing,11
"P-adic Numbers, Ultrametric Analysis, and Applications",11
Business & Information Systems Engineering,11
computer applications in industry and engineering,11
"international workshop on xquery implementation, experience and perspectives",10
International Journal of Artificial Intelligence in Education,10
arXiv: Computational Finance,10
arXiv: Soft Condensed Matter,10
International Journal of Soft Computing,10
Journal of Applied Physics,10
parallel and distributed computing systems (isca),10
Bulletin of Mathematical Biology,10
New Astronomy,10
IEEE Transactions on Nanotechnology,10
International Journal of Managing Information Technology,10
Optics Letters,10
Science,10
Statistical Science,10
business modeling and software design,10
Journal of Chemical Physics,10
autonomous minirobots for research and edutainment,10
Foundations and Trends in Web Science,9
modeling and retrieval of context,9
Foundations and Trends in Robotics,9
Journal of Dermatological Science,9
international conference on bio inspired systems and signal processing,9
Synthesis Lectures on Mathematics and Statistics,9
BioMed Research International,9
Physics Reports,9
Journal of Mathematical Sciences,9
Methods of Information in Medicine,9
Room,9
International Journal of Advancements in Computing Technology,9
bioinspired models of network information and computing systems,9
"internet, multimedia systems and applications",9
Semigroup Forum,9
Synthesis Lectures on Computer Graphics and Animation,9
International Transactions on Systems Science and Applications,9
Probability Theory and Related Fields,9
"Synthesis Lectures on Information Security, Privacy, and Trust",9
IEEE-ASME Transactions on Mechatronics,9
Nanotechnology,9
Procedia - Social and Behavioral Sciences,9
IEEE Transactions on Cloud Computing,9
arXiv: Risk Management,9
content-based multimedia indexing,9
Journal of Critical Care,9
Constructive Approximation,9
SpringerPlus,9
International Journal of Electrical Power & Energy Systems,9
Ars Mathematica Contemporanea,9
Catalysis Today,9
Frontiers in Psychology,9
Decision Support Systems,9
explanation-aware computing,9
Space,9
Biometals,9
ACM Sigcaph Computers and The Physically Handicapped,9
arXiv: General Topology,9
Medical Physics,9
Modeling Identification and Control,9
arXiv: Biological Physics,9
Comptes Rendus Mathematique,9
arXiv: Mathematical Finance,9
arXiv: Economics,8
Nuclear Instruments & Methods in Physics Research Section A-accelerators Spectrometers Detectors and Associated Equipment,8
Nonlinear Dynamics,8
Physical Review B,8
arXiv: Statistical Finance,8
Applied Optics,8
arXiv: Pattern Formation and Solitons,8
software engineering and data engineering,8
Journal of New Music Research,8
Transactions of the American Mathematical Society,8
Frontiers in Neuroengineering,8
international zurich seminar on digital communications,8
Annals of Combinatorics,8
Statistics & Probability Letters,8
arXiv: Other Statistics,8
Electronic Journal of Statistics,8
arXiv: General Physics,8
Journal of Computational and Graphical Statistics,8
Electronic Letters on Computer Vision and Image Analysis,8
Transportation Research Part C-emerging Technologies,8
IEEE Computer Society,8
Publications of the Astronomical Society of Australia,8
Physics Today,8
distributed autonomous robotic systems,8
italian information retrieval workshop,8
Synthesis Lectures on Distributed Computing Theory,8
Synthesis Lectures on Data Mining and Knowledge Discovery,8
Iet Signal Processing,8
IEEE Control Systems Magazine,8
IEEE Engineering Management Review,8
