venue,num_papers
Security and Communication Networks,1301
acm/ieee joint conference on digital libraries,1296
advances in social networks analysis and mining,1293
Performance Evaluation,1288
field-programmable logic and applications,1286
Journal of Economic Theory,1286
Electronic Proceedings in Theoretical Computer Science,1284
data and knowledge engineering,1283
information reuse and integration,1280
international symposium on low power electronics and design,1274
SIAM Journal on Matrix Analysis and Applications,1270
intelligence and security informatics,1268
Journal of Optimization Theory and Applications,1266
computer-based medical systems,1265
Advances in Engineering Software,1262
Journal of the American Medical Informatics Association,1258
arXiv: Machine Learning,1256
Journal of Digital Imaging,1256
communication systems and networks,1252
Science of Computer Programming,1252
Computers & Security,1250
Journal of the Operational Research Society,1247
international conference on pervasive computing,1244
international conference on control and automation,1242
international symposium on software reliability engineering,1240
visual communications and image processing,1238
asian test symposium,1237
Medical Image Analysis,1234
IEEE Transactions on Reliability,1232
Applied Intelligence,1231
Computing in Science and Engineering,1228
Journal of Universal Computer Science,1228
symposium on principles of programming languages,1220
international conference on image analysis and processing,1219
Queueing Systems,1219
annual computer security applications conference,1218
BMC Medical Informatics and Decision Making,1218
asian conference on computer vision,1218
Simulation Modelling Practice and Theory,1215
Information Systems,1212
asia-pacific software engineering conference,1210
user interface software and technology,1207
IEEE Transactions on Industrial Informatics,1206
"Cyberpsychology, Behavior, and Social Networking",1204
cluster computing and the grid,1204
arXiv: Social and Information Networks,1203
arXiv: Logic in Computer Science,1202
Annales Des Télécommunications,1202
Games and Economic Behavior,1202
Journal of Computational Biology,1201
"IEEE Transactions on Acoustics, Speech, and Signal Processing",1199
Computer Aided Geometric Design,1196
symposium on cloud computing,1195
"conference on object-oriented programming systems, languages, and applications",1191
arXiv: Systems and Control,1191
Journal of Combinatorial Optimization,1185
British Journal of Educational Technology,1183
international conference on cluster computing,1178
international conference on conceptual modeling,1172
Journal of Approximation Theory,1164
"wireless and mobile computing, networking and communications",1163
world of wireless mobile and multimedia networks,1163
International Journal of Computer Integrated Manufacturing,1159
Studia Logica,1155
The Computer Journal,1154
Industrial Management and Data Systems,1153
Acta Informatica,1151
international conference on multimodal interfaces,1148
Journal of Systems Architecture,1147
extending database technology,1146
intelligent data analysis,1143
IEEE/ACM Transactions on Computational Biology and Bioinformatics,1142
Knowledge and Information Systems,1140
IEEE Design & Test of Computers,1140
foundations of software engineering,1133
"parallel, distributed and network-based processing",1132
pervasive computing and communications,1130
Theory of Computing Systems \/ Mathematical Systems Theory,1130
International Journal of Applied Earth Observation and Geoinformation,1128
Behaviour & Information Technology,1128
advances in multimedia,1128
Journal of Knowledge Management,1127
electronic commerce,1123
logic in computer science,1120
Computers in Industry,1116
Journal of Information Science,1116
embedded and ubiquitous computing,1115
international conference on supercomputing,1110
workshops on enabling technologies: infrastracture for collaborative enterprises,1106
international conference on information and communication security,1104
database systems for advanced applications,1100
integrated network management,1100
international conference on intelligent robotics and applications,1099
Machine Learning,1099
Ksii Transactions on Internet and Information Systems,1099
service oriented software engineering,1099
Artificial Intelligence in Medicine,1089
international conference on ubiquitous information management and communication,1086
international symposium on algorithms and computation,1084
web information systems engineering,1083
Journal of Computers,1080
Journal of Electronic Testing,1077
Mathematical Logic Quarterly,1074
advances in geographic information systems,1073
international workshop on security,1072
symposium on computational geometry,1071
Quality and Reliability Engineering International,1069
Journal of Computer Applications in Technology,1064
intelligent data engineering and automated learning,1064
Journal of Mathematical Imaging and Vision,1060
IEEE Transactions on Automation Science and Engineering,1059
federated conference on computer science and information systems,1056
international conference on ultra modern telecommunications,1054
defect and fault tolerance in vlsi and nanotechnology systems,1054
supercomputing conference,1053
international conference on biometrics,1049
conference on multimedia modeling,1035
Journal of Electronic Imaging,1035
european conference on information retrieval,1031
"Graphical Models \/graphical Models and Image Processing \/computer Vision, Graphics, and Image Processing",1028
international symposium on parallel and distributed processing and applications,1028
mobile data management,1028
BioSystems,1028
field programmable gate arrays,1026
human-robot interaction,1025
computer analysis of images and patterns,1020
mexican international conference on artificial intelligence,1020
advanced video and signal based surveillance,1019
australian joint conference on artificial intelligence,1019
Random Structures and Algorithms,1018
symposium on applications and the internet,1014
international conference on networks,1010
Computational and Mathematical Methods in Medicine,1009
Transportation Science,1008
Cluster Computing,1007
international symposium on wireless communication systems,1003
Social Choice and Welfare,1001
Mobile Networks and Applications,998
compiler construction,998
mathematical foundations of computer science,995
conference on advanced information systems engineering,993
industrial engineering and engineering management,993
Journal of Communications and Networks,991
programming language design and implementation,991
international conference on bioinformatics,991
international symposium on mixed and augmented reality,989
"Signal, Image and Video Processing",988
enterprise distributed object computing,987
international conference on social computing,987
IEEE Wireless Communications,984
international cryptology conference,983
field-programmable technology,981
Kybernetes,980
international conference on network protocols,980
international conference on systems,979
language resources and evaluation,977
IEEE Transactions on Education,971
international symposium on symbolic and algebraic computation,970
Statistics and Computing,970
Informs Journal on Computing,969
iberoamerican congress on pattern recognition,969
Annals of Mathematics and Artificial Intelligence,969
European Transactions on Telecommunications,968
principles and practice of constraint programming,967
First Monday,967
high performance distributed computing,967
Educational Technology & Society,967
Journal of Management Information Systems,966
international conference on image analysis and recognition,964
International Journal of Foundations of Computer Science,962
european symposium on algorithms,962
Journal of Computational Neuroscience,960
principles of distributed computing,960
communications and mobile computing,958
nano/micro engineered and molecular systems,957
IEEE Transactions on Broadcasting,955
conference on computers and accessibility,952
Sigplan Notices,952
Journal of Documentation,950
"IEEE Transactions on Systems, Man, and Cybernetics",942
arXiv: Computers and Society,941
Journal of Machine Vision and Applications,940
international conference on software testing verification and validation,937
Journal of Information Science and Engineering,937
